36,Trendy Center,Hair Salon,https://images.unsplash.com/photo-1521590832167-7bcbfaa6381f?auto=format&fit=crop&w=600&h=400,4.8,128,Luxury hair salon offering premium services with expert stylists and a serene atmosphere.,Tokyo,Shibuya,"123 5th Ave, Manhattan, New York",$$,Women's Haircut; Men's Haircut; Hair Styling,"{""phone"":""123-456-7890"",""email"":""info@elitehairstudio.com"",""website"":""www.elitehairstudio.com"",""social"":{""instagram"":""elitehairstudio"",""facebook"":""EliteHairStudio""}}","{""monday"":""9:00 AM - 7:00 PM"",""tuesday"":""9:00 AM - 7:00 PM"",""wednesday"":""9:00 AM - 7:00 PM"",""thursday"":""9:00 AM - 8:00 PM"",""friday"":""9:00 AM - 8:00 PM"",""saturday"":""9:00 AM - 6:00 PM"",""sunday"":""Closed""}"
37,Chic Beauty,Gym,https://images.unsplash.com/photo-1560066984-138dadb4c035?auto=format&fit=crop&w=600&h=400,4.7,156,"Experience luxury hair care in our modern, upscale salon.",Sydney,Bondi,"456 Rodeo Dr, Beverly Hills, Los Angeles",$$$,Personal Training; Group Classes; Yoga,"{""phone"":""234-567-8901"",""email"":""hello@luxehairlounge.com"",""website"":""www.luxehairlounge.com"",""social"":{""instagram"":""luxehairlounge"",""facebook"":""LuxeHairLounge""}}","{""monday"":""10:00 AM - 8:00 PM"",""tuesday"":""10:00 AM - 8:00 PM"",""wednesday"":""10:00 AM - 8:00 PM"",""thursday"":""10:00 AM - 9:00 PM"",""friday"":""10:00 AM - 9:00 PM"",""saturday"":""9:00 AM - 7:00 PM"",""sunday"":""11:00 AM - 5:00 PM""}"
38,Elite Center,Spa,https://images.unsplash.com/photo-1595475884562-073c30d45670?auto=format&fit=crop&w=600&h=400,4.9,203,Where style meets sophistication. Expert stylists create stunning looks.,Tokyo,Shibuya,"789 N Michigan Ave, Chicago",$$,Saunas; Facial Treatments; Body Scrubs,"{""phone"":""345-678-9012"",""email"":""info@styleandgrace.com"",""website"":""www.styleandgrace.com"",""social"":{""instagram"":""styleandgrace"",""facebook"":""StyleAndGrace""}}","{""monday"":""9:00 AM - 6:00 PM"",""tuesday"":""9:00 AM - 6:00 PM"",""wednesday"":""9:00 AM - 8:00 PM"",""thursday"":""9:00 AM - 8:00 PM"",""friday"":""9:00 AM - 6:00 PM"",""saturday"":""8:00 AM - 5:00 PM"",""sunday"":""Closed""}"
39,Stylish Retreat,Barbershop,https://images.unsplash.com/photo-1600948836101-f9ffda59d250?auto=format&fit=crop&w=600&h=400,4.6,167,Contemporary salon focusing on modern techniques and trends.,Sydney,Bondi,"321 Ocean Drive, San Francisco",$$,Hot Towel Shaves; Classic Haircuts; Beard Trimming,"{""phone"":""456-789-0123"",""email"":""hello@chicandshine.com"",""website"":""www.chicandshine.com"",""social"":{""instagram"":""chicandshine"",""facebook"":""ChicAndShine""}}","{""monday"":""10:00 AM - 7:00 PM"",""tuesday"":""10:00 AM - 7:00 PM"",""wednesday"":""10:00 AM - 8:00 PM"",""thursday"":""10:00 AM - 8:00 PM"",""friday"":""10:00 AM - 7:00 PM"",""saturday"":""9:00 AM - 6:00 PM"",""sunday"":""Closed""}"
40,Chic Center,Spa,https://images.unsplash.com/photo-1585747860715-2ba37e788b70?auto=format&fit=crop&w=600&h=400,4.9,245,Traditional barbershop offering classic cuts and hot towel shaves.,Sydney,Surry Hills,"567 Market St, San Francisco",$$,Massages; Body Scrubs; Saunas,"{""phone"":""567-890-1234"",""email"":""info@classiccuts.com"",""website"":""www.classiccuts.com"",""social"":{""instagram"":""classiccuts"",""facebook"":""ClassicCutsBarbershop""}}","{""monday"":""8:00 AM - 7:00 PM"",""tuesday"":""8:00 AM - 7:00 PM"",""wednesday"":""8:00 AM - 7:00 PM"",""thursday"":""8:00 AM - 8:00 PM"",""friday"":""8:00 AM - 8:00 PM"",""saturday"":""7:00 AM - 6:00 PM"",""sunday"":""9:00 AM - 3:00 PM""}"
41,Classic Lounge,Hair Salon,https://images.unsplash.com/photo-1521590832167-7bcbfaa6381f?auto=format&fit=crop&w=600&h=400,4.8,128,Luxury hair salon offering premium services with expert stylists and a serene atmosphere.,Sydney,Surry Hills,"123 5th Ave, Manhattan, New York",$$,Women's Haircut; Hair Coloring; Hair Styling,"{""phone"":""123-456-7890"",""email"":""info@elitehairstudio.com"",""website"":""www.elitehairstudio.com"",""social"":{""instagram"":""elitehairstudio"",""facebook"":""EliteHairStudio""}}","{""monday"":""9:00 AM - 7:00 PM"",""tuesday"":""9:00 AM - 7:00 PM"",""wednesday"":""9:00 AM - 7:00 PM"",""thursday"":""9:00 AM - 8:00 PM"",""friday"":""9:00 AM - 8:00 PM"",""saturday"":""9:00 AM - 6:00 PM"",""sunday"":""Closed""}"
42,Classic Beauty,Beauty Salon,https://images.unsplash.com/photo-1560066984-138dadb4c035?auto=format&fit=crop&w=600&h=400,4.7,156,"Experience luxury hair care in our modern, upscale salon.",New York,Manhattan,"456 Rodeo Dr, Beverly Hills, Los Angeles",$$$,Makeup Application; Facials; Waxing,"{""phone"":""234-567-8901"",""email"":""hello@luxehairlounge.com"",""website"":""www.luxehairlounge.com"",""social"":{""instagram"":""luxehairlounge"",""facebook"":""LuxeHairLounge""}}","{""monday"":""10:00 AM - 8:00 PM"",""tuesday"":""10:00 AM - 8:00 PM"",""wednesday"":""10:00 AM - 8:00 PM"",""thursday"":""10:00 AM - 9:00 PM"",""friday"":""10:00 AM - 9:00 PM"",""saturday"":""9:00 AM - 7:00 PM"",""sunday"":""11:00 AM - 5:00 PM""}"
43,Chic Studio,Spa,https://images.unsplash.com/photo-1595475884562-073c30d45670?auto=format&fit=crop&w=600&h=400,4.9,203,Where style meets sophistication. Expert stylists create stunning looks.,New York,Brooklyn,"789 N Michigan Ave, Chicago",$$,Saunas; Facial Treatments; Massages,"{""phone"":""345-678-9012"",""email"":""info@styleandgrace.com"",""website"":""www.styleandgrace.com"",""social"":{""instagram"":""styleandgrace"",""facebook"":""StyleAndGrace""}}","{""monday"":""9:00 AM - 6:00 PM"",""tuesday"":""9:00 AM - 6:00 PM"",""wednesday"":""9:00 AM - 8:00 PM"",""thursday"":""9:00 AM - 8:00 PM"",""friday"":""9:00 AM - 6:00 PM"",""saturday"":""8:00 AM - 5:00 PM"",""sunday"":""Closed""}"
44,Stylish Beauty,Gym,https://images.unsplash.com/photo-1600948836101-f9ffda59d250?auto=format&fit=crop&w=600&h=400,4.6,167,Contemporary salon focusing on modern techniques and trends.,Paris,Le Marais,"321 Ocean Drive, San Francisco",$$,Group Classes; Yoga; Strength Training,"{""phone"":""456-789-0123"",""email"":""hello@chicandshine.com"",""website"":""www.chicandshine.com"",""social"":{""instagram"":""chicandshine"",""facebook"":""ChicAndShine""}}","{""monday"":""10:00 AM - 7:00 PM"",""tuesday"":""10:00 AM - 7:00 PM"",""wednesday"":""10:00 AM - 8:00 PM"",""thursday"":""10:00 AM - 8:00 PM"",""friday"":""10:00 AM - 7:00 PM"",""saturday"":""9:00 AM - 6:00 PM"",""sunday"":""Closed""}"
45,Premier Gym,Beauty Salon,https://images.unsplash.com/photo-1585747860715-2ba37e788b70?auto=format&fit=crop&w=600&h=400,4.9,245,Traditional barbershop offering classic cuts and hot towel shaves.,London,Soho,"567 Market St, San Francisco",$$,Makeup Application; Nail Services; Facials,"{""phone"":""567-890-1234"",""email"":""info@classiccuts.com"",""website"":""www.classiccuts.com"",""social"":{""instagram"":""classiccuts"",""facebook"":""ClassicCutsBarbershop""}}","{""monday"":""8:00 AM - 7:00 PM"",""tuesday"":""8:00 AM - 7:00 PM"",""wednesday"":""8:00 AM - 7:00 PM"",""thursday"":""8:00 AM - 8:00 PM"",""friday"":""8:00 AM - 8:00 PM"",""saturday"":""7:00 AM - 6:00 PM"",""sunday"":""9:00 AM - 3:00 PM""}"
46,Trendy Lounge,Spa,https://images.unsplash.com/photo-1521590832167-7bcbfaa6381f?auto=format&fit=crop&w=600&h=400,4.8,128,Luxury hair salon offering premium services with expert stylists and a serene atmosphere.,Los Angeles,Beverly Hills,"123 5th Ave, Manhattan, New York",$$,Body Scrubs; Massages; Saunas,"{""phone"":""123-456-7890"",""email"":""info@elitehairstudio.com"",""website"":""www.elitehairstudio.com"",""social"":{""instagram"":""elitehairstudio"",""facebook"":""EliteHairStudio""}}","{""monday"":""9:00 AM - 7:00 PM"",""tuesday"":""9:00 AM - 7:00 PM"",""wednesday"":""9:00 AM - 7:00 PM"",""thursday"":""9:00 AM - 8:00 PM"",""friday"":""9:00 AM - 8:00 PM"",""saturday"":""9:00 AM - 6:00 PM"",""sunday"":""Closed""}"
47,Royal Beauty,Beauty Salon,https://images.unsplash.com/photo-1560066984-138dadb4c035?auto=format&fit=crop&w=600&h=400,4.7,156,"Experience luxury hair care in our modern, upscale salon.",New York,Manhattan,"456 Rodeo Dr, Beverly Hills, Los Angeles",$$$,Waxing; Nail Services; Makeup Application,"{""phone"":""234-567-8901"",""email"":""hello@luxehairlounge.com"",""website"":""www.luxehairlounge.com"",""social"":{""instagram"":""luxehairlounge"",""facebook"":""LuxeHairLounge""}}","{""monday"":""10:00 AM - 8:00 PM"",""tuesday"":""10:00 AM - 8:00 PM"",""wednesday"":""10:00 AM - 8:00 PM"",""thursday"":""10:00 AM - 9:00 PM"",""friday"":""10:00 AM - 9:00 PM"",""saturday"":""9:00 AM - 7:00 PM"",""sunday"":""11:00 AM - 5:00 PM""}"
48,Luxe Barbers,Barbershop,https://images.unsplash.com/photo-1595475884562-073c30d45670?auto=format&fit=crop&w=600&h=400,4.9,203,Where style meets sophistication. Expert stylists create stunning looks.,Berlin,Mitte,"789 N Michigan Ave, Chicago",$$,Beard Trimming; Hot Towel Shaves; Classic Haircuts,"{""phone"":""345-678-9012"",""email"":""info@styleandgrace.com"",""website"":""www.styleandgrace.com"",""social"":{""instagram"":""styleandgrace"",""facebook"":""StyleAndGrace""}}","{""monday"":""9:00 AM - 6:00 PM"",""tuesday"":""9:00 AM - 6:00 PM"",""wednesday"":""9:00 AM - 8:00 PM"",""thursday"":""9:00 AM - 8:00 PM"",""friday"":""9:00 AM - 6:00 PM"",""saturday"":""8:00 AM - 5:00 PM"",""sunday"":""Closed""}"
49,Premier Spa,Hair Salon,https://images.unsplash.com/photo-1600948836101-f9ffda59d250?auto=format&fit=crop&w=600&h=400,4.6,167,Contemporary salon focusing on modern techniques and trends.,Paris,Montmartre,"321 Ocean Drive, San Francisco",$$,Hair Styling; Hair Coloring; Women's Haircut,"{""phone"":""456-789-0123"",""email"":""hello@chicandshine.com"",""website"":""www.chicandshine.com"",""social"":{""instagram"":""chicandshine"",""facebook"":""ChicAndShine""}}","{""monday"":""10:00 AM - 7:00 PM"",""tuesday"":""10:00 AM - 7:00 PM"",""wednesday"":""10:00 AM - 8:00 PM"",""thursday"":""10:00 AM - 8:00 PM"",""friday"":""10:00 AM - 7:00 PM"",""saturday"":""9:00 AM - 6:00 PM"",""sunday"":""Closed""}"
50,Modern Lounge,Hair Salon,https://images.unsplash.com/photo-1585747860715-2ba37e788b70?auto=format&fit=crop&w=600&h=400,4.9,245,Traditional barbershop offering classic cuts and hot towel shaves.,Sydney,Surry Hills,"567 Market St, San Francisco",$$,Hair Coloring; Hair Styling; Women's Haircut,"{""phone"":""567-890-1234"",""email"":""info@classiccuts.com"",""website"":""www.classiccuts.com"",""social"":{""instagram"":""classiccuts"",""facebook"":""ClassicCutsBarbershop""}}","{""monday"":""8:00 AM - 7:00 PM"",""tuesday"":""8:00 AM - 7:00 PM"",""wednesday"":""8:00 AM - 7:00 PM"",""thursday"":""8:00 AM - 8:00 PM"",""friday"":""8:00 AM - 8:00 PM"",""saturday"":""7:00 AM - 6:00 PM"",""sunday"":""9:00 AM - 3:00 PM""}"
51,Chic Spa,Gym,https://images.unsplash.com/photo-1521590832167-7bcbfaa6381f?auto=format&fit=crop&w=600&h=400,4.8,128,Luxury hair salon offering premium services with expert stylists and a serene atmosphere.,Dubai,Marina,"123 5th Ave, Manhattan, New York",$$,Personal Training; Yoga; Strength Training,"{""phone"":""123-456-7890"",""email"":""info@elitehairstudio.com"",""website"":""www.elitehairstudio.com"",""social"":{""instagram"":""elitehairstudio"",""facebook"":""EliteHairStudio""}}","{""monday"":""9:00 AM - 7:00 PM"",""tuesday"":""9:00 AM - 7:00 PM"",""wednesday"":""9:00 AM - 7:00 PM"",""thursday"":""9:00 AM - 8:00 PM"",""friday"":""9:00 AM - 8:00 PM"",""saturday"":""9:00 AM - 6:00 PM"",""sunday"":""Closed""}"
52,Grand Barbers,Beauty Salon,https://images.unsplash.com/photo-1560066984-138dadb4c035?auto=format&fit=crop&w=600&h=400,4.7,156,"Experience luxury hair care in our modern, upscale salon.",Sydney,Bondi,"456 Rodeo Dr, Beverly Hills, Los Angeles",$$$,Facials; Makeup Application; Nail Services,"{""phone"":""234-567-8901"",""email"":""hello@luxehairlounge.com"",""website"":""www.luxehairlounge.com"",""social"":{""instagram"":""luxehairlounge"",""facebook"":""LuxeHairLounge""}}","{""monday"":""10:00 AM - 8:00 PM"",""tuesday"":""10:00 AM - 8:00 PM"",""wednesday"":""10:00 AM - 8:00 PM"",""thursday"":""10:00 AM - 9:00 PM"",""friday"":""10:00 AM - 9:00 PM"",""saturday"":""9:00 AM - 7:00 PM"",""sunday"":""11:00 AM - 5:00 PM""}"
53,Modern Spa,Beauty Salon,https://images.unsplash.com/photo-1595475884562-073c30d45670?auto=format&fit=crop&w=600&h=400,4.9,203,Where style meets sophistication. Expert stylists create stunning looks.,New York,Brooklyn,"789 N Michigan Ave, Chicago",$$,Makeup Application; Waxing; Facials,"{""phone"":""345-678-9012"",""email"":""info@styleandgrace.com"",""website"":""www.styleandgrace.com"",""social"":{""instagram"":""styleandgrace"",""facebook"":""StyleAndGrace""}}","{""monday"":""9:00 AM - 6:00 PM"",""tuesday"":""9:00 AM - 6:00 PM"",""wednesday"":""9:00 AM - 8:00 PM"",""thursday"":""9:00 AM - 8:00 PM"",""friday"":""9:00 AM - 6:00 PM"",""saturday"":""8:00 AM - 5:00 PM"",""sunday"":""Closed""}"
54,Elite Haven,Gym,https://images.unsplash.com/photo-1600948836101-f9ffda59d250?auto=format&fit=crop&w=600&h=400,4.6,167,Contemporary salon focusing on modern techniques and trends.,London,Chelsea,"321 Ocean Drive, San Francisco",$$,Group Classes; Strength Training; Yoga,"{""phone"":""456-789-0123"",""email"":""hello@chicandshine.com"",""website"":""www.chicandshine.com"",""social"":{""instagram"":""chicandshine"",""facebook"":""ChicAndShine""}}","{""monday"":""10:00 AM - 7:00 PM"",""tuesday"":""10:00 AM - 7:00 PM"",""wednesday"":""10:00 AM - 8:00 PM"",""thursday"":""10:00 AM - 8:00 PM"",""friday"":""10:00 AM - 7:00 PM"",""saturday"":""9:00 AM - 6:00 PM"",""sunday"":""Closed""}"
55,Stylish Center,Hair Salon,https://images.unsplash.com/photo-1585747860715-2ba37e788b70?auto=format&fit=crop&w=600&h=400,4.9,245,Traditional barbershop offering classic cuts and hot towel shaves.,London,Soho,"567 Market St, San Francisco",$$,Hair Styling; Hair Coloring; Men's Haircut,"{""phone"":""567-890-1234"",""email"":""info@classiccuts.com"",""website"":""www.classiccuts.com"",""social"":{""instagram"":""classiccuts"",""facebook"":""ClassicCutsBarbershop""}}","{""monday"":""8:00 AM - 7:00 PM"",""tuesday"":""8:00 AM - 7:00 PM"",""wednesday"":""8:00 AM - 7:00 PM"",""thursday"":""8:00 AM - 8:00 PM"",""friday"":""8:00 AM - 8:00 PM"",""saturday"":""7:00 AM - 6:00 PM"",""sunday"":""9:00 AM - 3:00 PM""}"
56,Royal Spa,Spa,https://images.unsplash.com/photo-1521590832167-7bcbfaa6381f?auto=format&fit=crop&w=600&h=400,4.8,128,Luxury hair salon offering premium services with expert stylists and a serene atmosphere.,Dubai,Marina,"123 5th Ave, Manhattan, New York",$$,Facial Treatments; Body Scrubs; Saunas,"{""phone"":""123-456-7890"",""email"":""info@elitehairstudio.com"",""website"":""www.elitehairstudio.com"",""social"":{""instagram"":""elitehairstudio"",""facebook"":""EliteHairStudio""}}","{""monday"":""9:00 AM - 7:00 PM"",""tuesday"":""9:00 AM - 7:00 PM"",""wednesday"":""9:00 AM - 7:00 PM"",""thursday"":""9:00 AM - 8:00 PM"",""friday"":""9:00 AM - 8:00 PM"",""saturday"":""9:00 AM - 6:00 PM"",""sunday"":""Closed""}"
57,Stylish Salon,Barbershop,https://images.unsplash.com/photo-1560066984-138dadb4c035?auto=format&fit=crop&w=600&h=400,4.7,156,"Experience luxury hair care in our modern, upscale salon.",Dubai,Downtown,"456 Rodeo Dr, Beverly Hills, Los Angeles",$$$,Hot Towel Shaves; Classic Haircuts; Beard Trimming,"{""phone"":""234-567-8901"",""email"":""hello@luxehairlounge.com"",""website"":""www.luxehairlounge.com"",""social"":{""instagram"":""luxehairlounge"",""facebook"":""LuxeHairLounge""}}","{""monday"":""10:00 AM - 8:00 PM"",""tuesday"":""10:00 AM - 8:00 PM"",""wednesday"":""10:00 AM - 8:00 PM"",""thursday"":""10:00 AM - 9:00 PM"",""friday"":""10:00 AM - 9:00 PM"",""saturday"":""9:00 AM - 7:00 PM"",""sunday"":""11:00 AM - 5:00 PM""}"
58,Trendy Studio,Hair Salon,https://images.unsplash.com/photo-1595475884562-073c30d45670?auto=format&fit=crop&w=600&h=400,4.9,203,Where style meets sophistication. Expert stylists create stunning looks.,Paris,Montmartre,"789 N Michigan Ave, Chicago",$$,Hair Styling; Hair Coloring; Men's Haircut,"{""phone"":""345-678-9012"",""email"":""info@styleandgrace.com"",""website"":""www.styleandgrace.com"",""social"":{""instagram"":""styleandgrace"",""facebook"":""StyleAndGrace""}}","{""monday"":""9:00 AM - 6:00 PM"",""tuesday"":""9:00 AM - 6:00 PM"",""wednesday"":""9:00 AM - 8:00 PM"",""thursday"":""9:00 AM - 8:00 PM"",""friday"":""9:00 AM - 6:00 PM"",""saturday"":""8:00 AM - 5:00 PM"",""sunday"":""Closed""}"
59,Classic Center,Barbershop,https://images.unsplash.com/photo-1600948836101-f9ffda59d250?auto=format&fit=crop&w=600&h=400,4.6,167,Contemporary salon focusing on modern techniques and trends.,Sydney,Surry Hills,"321 Ocean Drive, San Francisco",$$,Classic Haircuts; Beard Trimming; Hot Towel Shaves,"{""phone"":""456-789-0123"",""email"":""hello@chicandshine.com"",""website"":""www.chicandshine.com"",""social"":{""instagram"":""chicandshine"",""facebook"":""ChicAndShine""}}","{""monday"":""10:00 AM - 7:00 PM"",""tuesday"":""10:00 AM - 7:00 PM"",""wednesday"":""10:00 AM - 8:00 PM"",""thursday"":""10:00 AM - 8:00 PM"",""friday"":""10:00 AM - 7:00 PM"",""saturday"":""9:00 AM - 6:00 PM"",""sunday"":""Closed""}"
60,Trendy Barbers,Gym,https://images.unsplash.com/photo-1585747860715-2ba37e788b70?auto=format&fit=crop&w=600&h=400,4.9,245,Traditional barbershop offering classic cuts and hot towel shaves.,Tokyo,Shibuya,"567 Market St, San Francisco",$$,Personal Training; Strength Training; Group Classes,"{""phone"":""567-890-1234"",""email"":""info@classiccuts.com"",""website"":""www.classiccuts.com"",""social"":{""instagram"":""classiccuts"",""facebook"":""ClassicCutsBarbershop""}}","{""monday"":""8:00 AM - 7:00 PM"",""tuesday"":""8:00 AM - 7:00 PM"",""wednesday"":""8:00 AM - 7:00 PM"",""thursday"":""8:00 AM - 8:00 PM"",""friday"":""8:00 AM - 8:00 PM"",""saturday"":""7:00 AM - 6:00 PM"",""sunday"":""9:00 AM - 3:00 PM""}"
61,Modern Barbers,Spa,https://images.unsplash.com/photo-1521590832167-7bcbfaa6381f?auto=format&fit=crop&w=600&h=400,4.8,128,Luxury hair salon offering premium services with expert stylists and a serene atmosphere.,Paris,Le Marais,"123 5th Ave, Manhattan, New York",$$,Saunas; Body Scrubs; Massages,"{""phone"":""123-456-7890"",""email"":""info@elitehairstudio.com"",""website"":""www.elitehairstudio.com"",""social"":{""instagram"":""elitehairstudio"",""facebook"":""EliteHairStudio""}}","{""monday"":""9:00 AM - 7:00 PM"",""tuesday"":""9:00 AM - 7:00 PM"",""wednesday"":""9:00 AM - 7:00 PM"",""thursday"":""9:00 AM - 8:00 PM"",""friday"":""9:00 AM - 8:00 PM"",""saturday"":""9:00 AM - 6:00 PM"",""sunday"":""Closed""}"
62,Grand Center,Hair Salon,https://images.unsplash.com/photo-1560066984-138dadb4c035?auto=format&fit=crop&w=600&h=400,4.7,156,"Experience luxury hair care in our modern, upscale salon.",Paris,Le Marais,"456 Rodeo Dr, Beverly Hills, Los Angeles",$$$,Hair Styling; Men's Haircut; Women's Haircut,"{""phone"":""234-567-8901"",""email"":""hello@luxehairlounge.com"",""website"":""www.luxehairlounge.com"",""social"":{""instagram"":""luxehairlounge"",""facebook"":""LuxeHairLounge""}}","{""monday"":""10:00 AM - 8:00 PM"",""tuesday"":""10:00 AM - 8:00 PM"",""wednesday"":""10:00 AM - 8:00 PM"",""thursday"":""10:00 AM - 9:00 PM"",""friday"":""10:00 AM - 9:00 PM"",""saturday"":""9:00 AM - 7:00 PM"",""sunday"":""11:00 AM - 5:00 PM""}"
63,Classic Studio,Beauty Salon,https://images.unsplash.com/photo-1595475884562-073c30d45670?auto=format&fit=crop&w=600&h=400,4.9,203,Where style meets sophistication. Expert stylists create stunning looks.,Paris,Montmartre,"789 N Michigan Ave, Chicago",$$,Facials; Makeup Application; Nail Services,"{""phone"":""345-678-9012"",""email"":""info@styleandgrace.com"",""website"":""www.styleandgrace.com"",""social"":{""instagram"":""styleandgrace"",""facebook"":""StyleAndGrace""}}","{""monday"":""9:00 AM - 6:00 PM"",""tuesday"":""9:00 AM - 6:00 PM"",""wednesday"":""9:00 AM - 8:00 PM"",""thursday"":""9:00 AM - 8:00 PM"",""friday"":""9:00 AM - 6:00 PM"",""saturday"":""8:00 AM - 5:00 PM"",""sunday"":""Closed""}"
64,Grand Beauty,Beauty Salon,https://images.unsplash.com/photo-1600948836101-f9ffda59d250?auto=format&fit=crop&w=600&h=400,4.6,167,Contemporary salon focusing on modern techniques and trends.,Los Angeles,Hollywood,"321 Ocean Drive, San Francisco",$$,Facials; Makeup Application; Nail Services,"{""phone"":""456-789-0123"",""email"":""hello@chicandshine.com"",""website"":""www.chicandshine.com"",""social"":{""instagram"":""chicandshine"",""facebook"":""ChicAndShine""}}","{""monday"":""10:00 AM - 7:00 PM"",""tuesday"":""10:00 AM - 7:00 PM"",""wednesday"":""10:00 AM - 8:00 PM"",""thursday"":""10:00 AM - 8:00 PM"",""friday"":""10:00 AM - 7:00 PM"",""saturday"":""9:00 AM - 6:00 PM"",""sunday"":""Closed""}"
65,Luxe Studio,Spa,https://images.unsplash.com/photo-1585747860715-2ba37e788b70?auto=format&fit=crop&w=600&h=400,4.9,245,Traditional barbershop offering classic cuts and hot towel shaves.,London,Soho,"567 Market St, San Francisco",$$,Saunas; Massages; Body Scrubs,"{""phone"":""567-890-1234"",""email"":""info@classiccuts.com"",""website"":""www.classiccuts.com"",""social"":{""instagram"":""classiccuts"",""facebook"":""ClassicCutsBarbershop""}}","{""monday"":""8:00 AM - 7:00 PM"",""tuesday"":""8:00 AM - 7:00 PM"",""wednesday"":""8:00 AM - 7:00 PM"",""thursday"":""8:00 AM - 8:00 PM"",""friday"":""8:00 AM - 8:00 PM"",""saturday"":""7:00 AM - 6:00 PM"",""sunday"":""9:00 AM - 3:00 PM""}"
66,Chic Retreat,Gym,https://images.unsplash.com/photo-1521590832167-7bcbfaa6381f?auto=format&fit=crop&w=600&h=400,4.8,128,Luxury hair salon offering premium services with expert stylists and a serene atmosphere.,Berlin,Mitte,"123 5th Ave, Manhattan, New York",$$,Personal Training; Yoga; Strength Training,"{""phone"":""123-456-7890"",""email"":""info@elitehairstudio.com"",""website"":""www.elitehairstudio.com"",""social"":{""instagram"":""elitehairstudio"",""facebook"":""EliteHairStudio""}}","{""monday"":""9:00 AM - 7:00 PM"",""tuesday"":""9:00 AM - 7:00 PM"",""wednesday"":""9:00 AM - 7:00 PM"",""thursday"":""9:00 AM - 8:00 PM"",""friday"":""9:00 AM - 8:00 PM"",""saturday"":""9:00 AM - 6:00 PM"",""sunday"":""Closed""}"
67,Royal Salon,Beauty Salon,https://images.unsplash.com/photo-1560066984-138dadb4c035?auto=format&fit=crop&w=600&h=400,4.7,156,"Experience luxury hair care in our modern, upscale salon.",Dubai,Downtown,"456 Rodeo Dr, Beverly Hills, Los Angeles",$$$,Facials; Nail Services; Makeup Application,"{""phone"":""234-567-8901"",""email"":""hello@luxehairlounge.com"",""website"":""www.luxehairlounge.com"",""social"":{""instagram"":""luxehairlounge"",""facebook"":""LuxeHairLounge""}}","{""monday"":""10:00 AM - 8:00 PM"",""tuesday"":""10:00 AM - 8:00 PM"",""wednesday"":""10:00 AM - 8:00 PM"",""thursday"":""10:00 AM - 9:00 PM"",""friday"":""10:00 AM - 9:00 PM"",""saturday"":""9:00 AM - 7:00 PM"",""sunday"":""11:00 AM - 5:00 PM""}"
68,Chic Barbers,Gym,https://images.unsplash.com/photo-1595475884562-073c30d45670?auto=format&fit=crop&w=600&h=400,4.9,203,Where style meets sophistication. Expert stylists create stunning looks.,Sydney,Surry Hills,"789 N Michigan Ave, Chicago",$$,Personal Training; Strength Training; Yoga,"{""phone"":""345-678-9012"",""email"":""info@styleandgrace.com"",""website"":""www.styleandgrace.com"",""social"":{""instagram"":""styleandgrace"",""facebook"":""StyleAndGrace""}}","{""monday"":""9:00 AM - 6:00 PM"",""tuesday"":""9:00 AM - 6:00 PM"",""wednesday"":""9:00 AM - 8:00 PM"",""thursday"":""9:00 AM - 8:00 PM"",""friday"":""9:00 AM - 6:00 PM"",""saturday"":""8:00 AM - 5:00 PM"",""sunday"":""Closed""}"
69,Grand Gym,Spa,https://images.unsplash.com/photo-1600948836101-f9ffda59d250?auto=format&fit=crop&w=600&h=400,4.6,167,Contemporary salon focusing on modern techniques and trends.,Dubai,Downtown,"321 Ocean Drive, San Francisco",$$,Massages; Facial Treatments; Body Scrubs,"{""phone"":""456-789-0123"",""email"":""hello@chicandshine.com"",""website"":""www.chicandshine.com"",""social"":{""instagram"":""chicandshine"",""facebook"":""ChicAndShine""}}","{""monday"":""10:00 AM - 7:00 PM"",""tuesday"":""10:00 AM - 7:00 PM"",""wednesday"":""10:00 AM - 8:00 PM"",""thursday"":""10:00 AM - 8:00 PM"",""friday"":""10:00 AM - 7:00 PM"",""saturday"":""9:00 AM - 6:00 PM"",""sunday"":""Closed""}"
70,Luxe Retreat,Gym,https://images.unsplash.com/photo-1585747860715-2ba37e788b70?auto=format&fit=crop&w=600&h=400,4.9,245,Traditional barbershop offering classic cuts and hot towel shaves.,Sydney,Bondi,"567 Market St, San Francisco",$$,Strength Training; Personal Training; Group Classes,"{""phone"":""567-890-1234"",""email"":""info@classiccuts.com"",""website"":""www.classiccuts.com"",""social"":{""instagram"":""classiccuts"",""facebook"":""ClassicCutsBarbershop""}}","{""monday"":""8:00 AM - 7:00 PM"",""tuesday"":""8:00 AM - 7:00 PM"",""wednesday"":""8:00 AM - 7:00 PM"",""thursday"":""8:00 AM - 8:00 PM"",""friday"":""8:00 AM - 8:00 PM"",""saturday"":""7:00 AM - 6:00 PM"",""sunday"":""9:00 AM - 3:00 PM""}"
